ja,zh
お願いっていくつまでセーフだと思う！？　ありすぎて決まんないんだけど！,소원은 몇개까지 세이프라고 생각해!? 너무 많아 정하지 않았지만!
願い事とか、見える場所に飾るの苦手なのよね……\n……見たら承知しないから！,소원이라든지、보이는 장소에 장식하는 것은 서투른 거야…\n…보면 용서하지 않으니까!
願いって、誰が、どうやって聞き届けてくれてるんすかねぇ……,소원은、누가、어떤 방식으로 들어주는거죠……
……やっほー……,﻿…… 얏호─……
あ……い……し────\n──あ……あい……────\nあいし……ふぇダメばい～！,사…… 랑…… 해─\n─사…… 사랑……─\n 사랑해…… 후에 안된당~!
あ、あの……プロデューサーさん……公園に、のんびりしに行きませんか……？,저、저기…… 프로듀서씨…… 공원에、느긋히 가지 않겠습니까……?
あの時……貴方さまが……\n貴方さまでなければ──,그 때…… 당신이……\n당신이 없었다면─
あーのーさぁ。ちょっとは意識\nしてもらえないと、三峰も立つ\n瀬がないんですけどー？,저기말이야. 조금은 의식\n해 주지 않으면、미츠미네도 설\n가망이 없습니다만―?
おてんとさんも、\nこい見て喜んどるばい～！,햇님도、\n이걸 보고 기뻐한당~!
お借りした手袋は、私が責任を\n持って、洗ってお返しいたしま\nすので……！,빌린 장갑은、내가 책임을\n가지고、세탁해서 돌려드릴게요……!
きみは恋……\nわれは秋嵐……,너는 사랑……\n나는 가을폭풍……
こういうポーズの時こそ\n体幹と腹筋が役立つのよ！\nベストショットまでキープ……,이런 포즈야말로\n체간과 복근에 도움이 되는거야! \n베스트 샷까지 킵……
ふふー\nタバスコ入りカレードリアの\n味はどうでしたぁ？,후후―\n타바스코안의 카레 도리아의\n맛은 어땠습니까?
んふふ～、幸せやねぇ～\nねぇ？,응후후~、행복하지~\n그치?
アンタが、いつもアタシの\nことを考えてくれてるのは\nわかってるつもりだよ,너가、언제나 나의\n일을 생각해 주고 있는 것은\n알고 있어
イルカは外せないし……\nクリオネも見たいよね☆\n時間足りるかなぁ……,돌고래는 제외할 수 없고……\n클리오네도 보고 싶네☆\n시간 충분할까나……
ステージ以外でも応援してもら\nえるのって、やっぱり嬉しいな\nえへへ……！,스테이지 이외에도 응원받을수\n있어서、역시 기쁘구나\n에헤헤……!
プロデューサーの好きな歌手\n教えていただけませんか\n聴いてみたいと思いまして……,프로듀서가 좋아하는 가수\n알려 줄수 없겠습니까\n들어 보고 싶다고 생각해서……
リコーダーはジャスティスレッドの武器、ジャスティーンファイアソードです！,리코더는 저스티스 레드의 무기、저스티파이어소드입니다!
人が、観覧車に乗る理由──\n……こんな時間を過ごすため\nなのかもしれないなぁって,사람이、관람차를 타는 이유─\n… 이런 시간을 보내기 위해\n그런건지도 모르겠다는
次のリクエストがあったらぜひ\n聞かせてください！　チョコア\nイドルは進化するんです！,다음의 리퀘스트가 있으면\n꼭 들려주세요! 쵸코\n아이돌은 진화합니다!
次は、プライベートで行きたいな\nもちろん、アナタも一緒にね,다음은、프라이빗으로 가고 싶다\n 물론、당신도 함께 말야
見えますか……\nいっぱいの……気持ち……,보입니까……\n 가득한…… 기분……
今日もまぁ、\nほどほどにやってきまぁす,오늘도 뭐、\n적당적당히~ 하겠습니다
プロデューサーさま……ほら、鶯が──想う相手と……呼び交わすのでしょう……ふふ……,프로듀서님… 저기、섬휘파람새─사모하는 상대와… 서로 부르겠지요… 후후…
フェスはやっぱり良かとー\nドキドキするばい！,﻿페스는 역시 괜찮을까~\n두근두근 하다이!
ファンのみんなにうちを\nよーく見てもらわんとね！,팬 모두에게 나를\n잘 보여 달랑께!
プロデューサーも\n応援よろしゅうね！,프로듀서도\n응원 잘 해줘!
せっかくのステージだ、私たちをしっかりと見せつけよう,모처럼의 스테이지다、우리를 제대로 과시하자
さぁ、ファンのみんなを楽しませに行こうじゃないか,자、팬 모두를 즐겁게 하러 가지 않겠는가
さて、そろそろウォーミングアップの時間かな,그런데、슬슬 워밍업의 시간일까
プロデューサーさん、甘奈のパフォーマンス見ててね！,프로듀서씨、아마나의 퍼포먼스 보고 있어!
今日のセットリストはっと……お、いいカンジじゃん☆,오늘의 세트 리스트 덜컥…… 오、좋은 느낌이잖아☆
ファンのみんながいるから、\n甘奈もがんばれるんだ,팬들이 있기 때문에、\n아마나도 노력할 수 있다
どう？　今日のふゆも、ばっちり可愛いでしょ？,어때? 오늘의 후유도、확실히 귀엽지요?
今日、家族総出で応援に来てるの。失敗できないわね,오늘、가족 총출동으로 응원 와 있어서 실패 할 수 없어요
ステップの確認、最後にもう一回……,스텝 확인、마지막으로 다시 한번……
今日はなんだか\n調子がいいっすよ,오늘은 뭔가\n상태가 좋아요
ワクワクだけじゃない\nこの感じ、いいっすね,두근두근 뿐이 아닌\n이 느낌、좋네요
よいしょっと！　\n少し動いとくっす,영차와! \n조금 움직여 둡니다
このフェスを思い切り楽しみましょう！,이 페스를 마음껏 즐깁시다!
絶対に勝つわよ！\nしっかり見ていて頂戴！,절대로 이겨요! \n확실히 보고 있어 줘!
私の実力を見せつけてあげるわ！　楽しみにしてなさい！,나의 실력을 과시해 주어요! 기대해 주세요!
見ててね！　甘奈、もっとキラキラしてみせるから！,보고 있어! 아마나、좀 더 반짝반짝 할꺼니까!
今日はファンのみんなを、アッと言わせてみせちゃうからね,오늘은 팬 모두가、앗 하고 말하게 해 보일꺼네
甘奈の魅力で、今日はガンガン盛り上げちゃうよ☆,아마나의 매력으로、오늘은 땅땅 북돋을 거예요☆
甜花は……\nひとりじゃないから……,텐카는……\n혼자가 아니니까……
レッスンの通りに……\nステージで、がんばる……！,레슨대로……\n스테이지에서、노력한다……!
今日の、ステージ……\n楽しんで……くるね……,오늘의、스테이지……\n즐겨…… 오네요……
ステージの外でも笑顔で……それが私のいる意味です,스테이지 밖에서도 웃는 얼굴로… 그것이 내가 있는 의미입니다
プロデューサーさんも、笑顔にしてみせます,프로듀서씨도、웃게 만들겠습니다
ふふ、負けていいって思ってるわけじゃないんです……！,후후、져도 좋다고 생각하는 건 아닙니다……!
プロデューサーがくれたチャンス、必ずモノにしてきます,프로듀서가 준 찬스、반드시 갖고 오겠습니다
大きな声援をもらえて、嬉しいです。絶対に応えてみせます,큰 성원을 받을 수 있어、기쁩니다. 절대로 응해 보이겠습니다
早く行きましょう。ファンの皆さんが待ってくれています,빨리 갑시다. 팬 여러분이 기다려 주고 있습니다
三峰、今なら誰かの憧れに\nなれてるのかなぁ……？,미츠미네、지금이라면 누군가의 동경에 익숙해 졌을까나…?
Ｐ氏の見る目は正しかったって\n三峰が証明してくるよ,P씨의 보는 눈은 올발랐다는 걸\n미츠미네가 증명해 온다
今日のフェスも、約束された\n大勝利って感じでしょっ,오늘의 페스도、약속된\n대승리라는 느낌이겠지
フェスのステージは特別です\nよーし、今日も頑張ります！,페스의 스테이지는 특별합니다\n좋아、오늘도 노력하겠습니다!
行きましょう！\nファンのみんなが待ってます,갑시다! \n팬의 모두가 기다리고 있습니다
チョコっとずつですけど、\n工夫もしていきたいですね！,쵸코 조금이지만、\n궁리도 하고 싶네요!
最高のパフォーマンスを\nファンに届けてくるぜ！,최고의 퍼포먼스를\n팬에게 보내 오겠어!
早く始まんねーかな？\n今すげーワクワクしてんだ！,빨리 시작되지 않을까? \n지금 굉장히 두근두근 하고 있어
プロデューサーがくれた舞台を\n全力で楽しんでくるな！,프로듀서가 준 무대를\n전력으로 즐겨 올거야!
貴方さまが、見ていてくださる\nと思うと、強く、なれるのです,당신이、보고 있어 주신다고\n라고 생각하면、강하게、될 수 있습니다
もうすぐ、ファンのみなさまに\nお会いできるのですね,이제 곧、팬 여러분을\n만나뵐 수 있는 것이군요
このような、大きな舞台……\nとても、光栄でございます,이러한、큰 무대……\n매우、영광입니다
プロデューサさんが一緒なので\nきっと大丈夫ですっ,프로듀서씨가 함께인 것로\n반드시 괜찮습니닷
ふふっ、フェスに出られて\nとっても嬉しいですっ,후훗、페스에 나올 수 있어\n매우 기쁩니닷
ファンのみなさんがいるから、\n私は頑張れます、むんっ,팬 여러분이 있기 때문에、\n나는 힘낼 수 있습니다、무읏
プロデューサー、楽しいステージにしてきます！,프로듀서、즐거운 스테이지 하고 옵니다!
私が積み重ねたものを信じてステージに臨みます！,내가 쌓아 올린 것을 믿어 스테이지에 임합니다!
ファンの皆さんと盛り上げるフェスって、いいものですよね,팬 여러분과 고조되는 페스는、좋은 것이군요
ファンのみんながいてくれるから、今とっても楽しいんだー！,팬 모두가 있어 주기 때문에、지금 매우 즐겁다―!
どんなフェスにしたら、\nみんな喜んでくれるかな？,어떤 페스로 하면、\n모두 기뻐해 줄까나?
プロデューサーも楽しめるようなフェスにしちゃうよー！\n,프로듀서도 즐길 수 있는 페스로 해 버린다! \n
プロデューサー、この舞台、\nばり盛り上げるけんね！,프로듀서、이 무대、\n한창 고조되는거넹!
こんなたくさんの人に……\nうちって、幸せ者やね！,이런 많은 사람에게……\n나는、행운이넹!
うちもファンも、みんなが\n楽しめるフェスにするばい！,나도 팬도、모두가\n즐길 수 있는 페스가 될거라이!
私のファンを\n増やしてきますねー,나의 팬을\n늘려 오네요―
私の歌とダンスを\n見せつけて来ますー,나의 노래와 댄스를\n과시해 옵니다―
なんだか、みんなの顔が\nよく見えるんですよー,뭔가、모두의 얼굴이\n잘 보입니다
わたしの中の、全部を……\n見てもらう日です……！,나의 전부 모든 걸……\n보이는 날입니다……!
プロデューサーさん……\nわたし……大丈夫です,프로듀서씨……\n나…… 괜찮습니다
いいステージにしたいって……\n心がそう……言ってるみたい,좋은 스테이지 하고 싶다고…\n마음이 그렇게… 말하는 것 같다
フェスに来ている人みんなに\n笑顔と平和を届けちゃいます！,페스에 와 있는 사람 모두에게\n웃는 얼굴과 평화를 보내 버립니다!
ヒーローアイドルとして\n会場を盛り上げちゃいますね！,히어로 아이돌로서\n회장을 북돋워 버리네요!
プロデューサーさんの応援で\nあたしは頑張れます！,프로듀서씨의 응원으로\n나는 힘낼 수 있습니다!
ファンのみなさんに、\n私の想いを全部届けますっ,팬 여러분에게、\n나의 생각을 전부 보냅니닷
準備万端ですっ\n最高のフェスにしますねっ,준비만단입니다 \n최고의 페스로 하네요
プロデューサーさん！\n私の姿、見ててくださいねっ,프로듀서씨! \n나의 모습、보고 있어 주세요
会場が揺れちゃうくらい、フェスを盛り上げるよー！,회장이 흔들려 버릴 정도로、페스를 북돋운다―!
プロデューサー！\n最高のフェスにしてくるね！,프로듀서! \n최고의 페스를 해 올게요!
もっと色んな人たちに、わたしたちを見てもらいたいなぁ,좀 더 여러 사람들이 우리를 봐줬으면 좋겠어
プロデューサーさん……\n甜花のこと、見ててね……,프로듀서씨……\n텐카의 공연、보고 있어……
みんなが応援してくれる……\nだから……楽しい……,모두가 응원해 주……\n니까…… 즐겁다……
ファンのみなさまが待って\nいて、くださいますから……,팬들께서 기다려\n주실테니까……
プロデューサーさまのため\n精一杯、努力してまいります,프로듀서님을 위해\n힘껏、노력해 가겠습니다
プロデューサーさまの、ご期待\nに、きっと、応えてみせます,프로듀서님의 기대에\n반드시 부응하겠습니다
甜花を見に来てる人に……\n笑顔を、プレゼント……,텐카를 보러 온 사람에게……\n미소를、선물……
この衣装なら、このネイルで\nキレーめに、だよね,이 의상이라면 이 네일이\n깨끗하네~
プロデューサー、\nなんか気が紛れる話、よろ～,프로듀서、\n긴장을 풀어줄 이야기 부탁해~
待っててくれる人がいるんだし\nちゃーんと気張らないとね,기다리는 사람이 있으니\n제대로 분발하지 않으면
本日の三峰スペシャルは～？\n……ふふー、本番まで内緒,오늘의 미츠미네 스페셜은~? \n… 후후、실전까지 비밀
さて！　そろそろ行きますか！\n今日もバッチリ盛り上げるぞー,그런데! 슬슬 갑니까! \n오늘도 신나게해주겠어
お花さんたちも……頑張れって\n応援してくれてるみたい……♪,꽃씨들도… 힘내라고\n응원해 주는 것 같다…♪
頑張るっていうより……つながりたい……です,노력한다 는 것보다도…\n이어지고… 싶습니다
勝つこともだけど……\nお客さんに楽しんでほしくて,이기는 것뿐만 아니라…\n관객이 즐기기를…
このカンジ、\n悪くないかも？,이 느낌、\n나쁘지 않을지도?
おっ、プロデューサー\n今日は何すんの～,﻿옷、프로듀서\n오늘은 뭐 해~
調子？\nまぁフツーってカンジ？,상태? \n뭐 보통의 느낌?
さ、早くやること\nやっちゃお～,자、빨리 할 거\n해버리자~
ヒマ～、\nなんか面白いことない～？,지루~、\n무슨 재미있는 일 없어~?
うわ、これちょーウケる～♪,우와、이거 좀 재밌다~♪
新しいアプリでも探そっと,새로운 앱이라도 찾게끔
ん？　なんか用～？,응? 뭔가 용무~?
え～、\n構って欲しい的なやつ～？,에~、\n상대했으면 하는 녀석~?
ちょ、プロデューサー、\n触りすぎだし！,저、프로듀서、\n너무 손대는 거 아냐!
うわ～……ないわ～……,우와~…… 없어요~……
プロデューサー……\nうちのこと、\nどんな目で見てんの……？,프로듀서……\n나를、\n어떤 눈으로 보는거야?
は？　マジで何？,하? 진짜로 무엇?
マジ順調じゃん？,진짜 순조롭잖아?
プロデューサー\n今日のうち、めっちゃ上々♪,프로듀서\n오늘의 나、아주 최상♪
メイク、ちょー決まった\nカンジなんだけどさ～\nどう？,메이크、-정해진\n느낌인 것이지만~\n어때?
プロデューサー、\nメッセ入れてたんだけど\n読んでくれた～？,프로듀서、\n메시지 넣었는데\n읽어 줬어~?
プロデューサー、なんか話さな～い？,프로듀서、뭔가 이야기안해?
ちょい自主トレしてくるわ～\n時間、まだあるよね～？,조금 자율 연습하고 올게\n시간、아직 있네~?
仕事しすぎじゃん？\nちょっと休もーよ\nヒマつぶしなら付き合うよ～,너무 일하잖아?\n조금 휴식도 해\n시간때우기 교제다~
なになに～？\n遊んでくれんの～？,뭔데뭔데~? \n놀아 줄래~?
疲れたんなら\n軽くどっか行く～？,지친 거라면\n가볍게 어딘가 가자~?
ん～、マッサージでも\nしたげよっか～？,응~、맛사지라도\n해 줄까~?
そんくらいなら\n別にいーけどさ～\nうち以外はマジやめときな？,그 정도야\n뭐 괜찮지만~\n나 이외는 진짜 그만둬?
そ、それはさすがに\n恥ずいって……,그、그것은 과연\n부끄럽다고……
……アハハ、\n今回は秘密にしといたげる♪,…… 아하하、\n이번은 비밀로 해 준다♪
プロデューサーと一緒なら、なんだってできちゃうよ！,﻿프로듀서와 함께라면、뭐든지 가능해요!
プロデューサーお疲れ様！\n今日も頑張っていこうね！,프로듀서 수고 하셨습니다! \n오늘도 열심히 가자!
えへへ！　プロデューサー！\n今日もやる気いっぱいだよー,에헤헤! 프로듀서! \n오늘도 의지 가득해
ねぇねぇ！\nプロデューサーのこと、もっと教えてよ！,있지있지! \n프로듀서의 일、좀 더 가르쳐줘요!
……かまってほしいなー……,…… 돌봐 주길 바라는데……
プロデューサーと\nずっと一緒にいたいなー！,프로듀서와 \n쭉 함께 있고 싶구나!
なに？　手、握ってもいいの？,뭐? 손、잡아도 괜찮은거야?
えへへ、なにー？,에헤헤、뭐─?
ふふっ、\nお返しにくすぐっちゃうよー？,후훗、\n답례로 간질여 버려?
誰かに見つかっても知らないよー？,누군가에게 발견되어도 몰라?
もー。ダメだって言ったでしょー、プロデューサー,아이참─. 안된다고 말했어요、프로듀서
だめだめっ、くすぐったいってばぁ！,안돼 안됏、낯간지럽단 말야!
プロデューサー！\n今日もうち、頑張るけん！\n見とってねー！,프로듀서! \n오늘도 나、노력하니까! \n보고 있엉―!
今日のレッスンはなんね？\nもう、うちのやる気は\nはちきれそうよ！,오늘의 레슨은 뭐양? \n이제、내 의욕이\n터질 것 같앙!
んふふー、\nなんでもうちに\nまかせとって！,응후후─、\n뭐든지 나에게 \n맡겨주라이!
プロデューサー！\nえへへ……\n呼んでみただけたい,프로듀서! \n네헤헤……\n그냥 불러 봤엉
長崎はよかとこよー\nもし機会があったら\n案内するばい！,나가사키 좋은 곳―\n만약 기회가 있으면\n안내해준당께!
プロデューサー、今日は\nお弁当作り過ぎたけん\nあとで分けちゃるばいー,프로듀서、오늘은\n도시락 많이 만들었으니까\n나중에 나눠줄껭
わっ！\nびっくりしたばい……\n一言いってから触らんね,왓! \n깜짝 놀란 당……\n한 마디 하고 손대라이
んふふ～、\nレッスンの成果やね\n最近筋肉ついてきたんよ～,응후후~、\n레슨의 성과로\n최근 근육이 잘붙엉~
く、くすぐったかよー\nもう、プロデューサー！\nお返し、覚悟せんね！,가、간질였엉―\n모、프로듀서! \n복수、각오해!
そっ、そこまでしてよかとは\n言っとらんよ！\nもー……,거、거기까지 해도된다고\n말하지 않았엉! \n모―……
す、すごかろ～？\nって、もう！　なに言わすね\nあー恥ずかしかー,대、대단해~? \n는、지금! 뭘말하는거양\n아─부끄러웡
ぷ、プロデューサー……！？\nい、今は仕事中やろ！\nちゃんとせないかんね！,프、프로듀서……!? \n지、지금은 업무중! \n제대로 안하면안됭!
やっぱアイドルって楽しいよ\n憧れてるだけじゃなくて\nよかった,역시 아이돌은 즐거워\n동경하기만 한게 아니라\n다행이다
なんと、今日の三峰は\n燃えております！\n張り切って行っちゃうよー！,무려、오늘의 미츠미네는\n불타고 있습니다! \n의욕이 넘쳐버려요!
おっけおっけ、三峰に任せて\n大船に乗ったつもりで\nいてくださいよ,오케오케、미츠미네에게 맡겨\n마음 든든하게\n있어 주세요
もし拗ねちゃってるなら\n構ってもいいなーと思う\n三峰なのであった,만약 삐지지만 않으면\n상관없다고 생각하는\n미츠미네인 것이다
あんまり気を抜いてると\n悪戯しちゃうかもよ？\n……ど？　ビックリした？,너무 긴장을 늦추면\n못된 장난해 버릴지도? \n…와? 깜짝 놀랐어?
プロデューサーも、きっと\nお疲れなんだよね……\n…………いつもありがと,프로듀서도、확실히\n수고했어…\n…언제나 고마워요
もー、プロデューサーってば\nそんなに三峰が気になるの？\n物好きだなぁ,아이참-、프로듀서 정말\n그렇게 미츠미네가 신경이 쓰여? \n호기심 많넹
ふっふっふー\nプロデューサーがその気なら\n三峰にも考えがあるからね！,후후후\n프로듀서가 그런 기분면\n미츠미네도 생각이 있으니까!
アイドルだもん、そうそう\n安売りはしませんよー？\n……プロデューサー以外には,아이돌이라 그렇게 항상\n염가판매 하지 않아요? \n…프로듀서 이외에는
やだなぁ、Pたんったらー\nこんなの三峰しか\n許してくれませんよー？,싫다、P땅도 참―\n이런 것 미츠미네 밖에\n허락해 주지않아요?
ひゃ！？　ちょっ、なに！？\nなんでそんなとこ触るのっ\nビックリするじゃん！,햐!? 춋、뭐!? \n왜 그런 데 손대\n깜짝 놀랐잖아!
あーあー、こんなことして\nいいのかなー？\n三峰知らないぞ～？,아─아─、이런 일\n좋은 걸까나? \n미츠미네는 몰라~?
どんな厳しい特訓が来ても\n耐え抜いてみせますっ！,어떤 어려운 특훈이 와도\n참아내 보입니닷!
えへへっ！\n早くお仕事に行きましょう\nプロデューサーさん！,에헤헷! \n빨리 일갑시다\n프로듀서씨!
今日のあたしは\n必殺技だって\n出せちゃいます！,오늘의 나는\n필살기\n내 버립니다!
これが時間のかつようじゅつなんですね！,이것이 시간의 활용 기술이군요!
えいっ！　やあっ！\nあ、変身シーンの練習中です\n一緒にやりましょう！,에잇! 야앗! \n아、변신신 연습중입니다\n함께 해요!
気合十分です！\nプロデューサーさん\n次は何をすれば良いですか？,기합충분합니다! \n프로듀서씨\n다음은 뭘 하면 좋습니까?
えへへっ！\nプロデューサーさん\nくすぐったいです！,에헤헷! \n프로듀서씨\n낯간지럽습니다!
プロデューサーさんの手って\n大きいですね！,프로듀서씨의 손은\n크네요!
くすぐりあいなら\n負けませんよっ,간지르기라면\n지지 않아요
あたしの心臓の音\n聞こえますか？\nなんか、ドキドキしてます,내 심장 소리\n들립니까? \n뭔가、두근두근합니다
胸のトレードマークは\nヒーローの証！　です！,가슴의 트레이드마크는\n히어로의 증거! 입니다!
頭もなでてください\nプロデューサーさんっ！,머리도 어루만져 주세요\n프로듀서씨!
プ、プロデューサーさん\nご用は……ありませんか……？,프、프로듀서씨\n용건은…… 없습니까……?
ふふ……絆創膏、うまく貼れました,후후…… 반창고、잘 붙여졌습니다
プロデューサーさん\n今日も、見ていてくださるんですね,프로듀서씨\n오늘도、보고있어주시는군요
……プロデューサーさん\n末梢性疲労ですか？,…… 프로듀서씨\n말초성 피로입니까?
プ、プロデューサーさん\nずっと、見ていてください……,프、프로듀서씨\n쭉、보고 있어 주세요……
プロデューサーさん\nリンゴを……剥きましょうか？,프로듀서씨\n사과를…… 벗길까요?
絆創膏が……\nは……はがれてましたか？,반창고가…\n버…벗겨지고 있습니까?
て、手が冷たくなってます……！\n暖めなきゃ……です,소、손이 차가와집니다…! \n따뜻하게 하지않으면…입니다
ふふ……くすぐったいです,후후…… 낯간지럽습니다
しょ、触診ですか？\nまだ心の準備が……,초、촉진입니까? \n아직 마음의 준비가……
い、嫌っていうわけではなくて……\nうぅ……,시、싫다고 말하는게 아니라……\n으……
わ……\nみ、脈拍があがっちゃいます……,와……\n매、맥박이 올라 버립니다……
貴方さまと、ご一緒ならば、\nどのような課題も、こなしてみせます……,당신과 함께라면、\n어떠한 과제도、해내겠습니다…
本日も、お顔を見ることができ……\n凛世は、幸せでございます,오늘도、얼굴을 볼 수 있어서…\n린제는、행복합니다
お疲れさまでございます……\nプロデューサーさま？　少し後ろ髪が……乱れております,수고하셨습니다…\n프로듀서님? 조금 뒷머리가\n흐트러졌습니다
ふふ……\n本日は、お傍で……見ていてくださるのですか……？,후후……\n오늘은、옆에서…\n보고 계시겠습니까…?
凛世は、プロデューサーさまのお帰りを、\n心待ちにしております……,린제는、프로듀서님이 돌아오는 길을、\n손꼽아 기다립니다..
プロデューサーさま……\nプロデューサーさま……,프로듀서님……\n프로듀서님……
なぜか、気持ちが……\n落ち着くようで、ございます,왠지、기분이……\n진정되는 것 같습니다
ふふ……\nプロデューサーさまの手……\nあたたかい……,후후……\n프로듀서님의 손…\n따뜻하다……
プロデューサーさま……どうかなさいましたか……？\n凛世は、ずっとお傍におります……,프로듀서님… 어떻게 지내셨어요?\n린제는、쭉 옆에 있습니다…
凛世の、心の音が……\n聞こえてしまいそうで、ございます……,린제의、마음의 소리가…\n들릴 것 같습니다……
漫画の中では……このようなことは記述がなく……,만화에서는…… 이런 기술은 없고……
凛世の、心は……決まっております,린제의、마음은… 정해져 있습니다
事務所にくるの\n嫌いじゃないですよー,사무소에 오는 것\n싫지 않아요
おはよーございまぁす\n……挨拶くらい、\n私もしますよー,안녕하세요 \n… 인사 정돈、\n나도 해요
今日の私、\n珍しくやる気があるかも\nしれませんよー？,오늘의 나、\n드물게 의욕이 있을지도\n몰라요─?
仕事ばっかりしてないでー\nプロデューサーも一緒に\nサボっちゃいませんかぁ,일만 하지 말고―\n프로듀서도 함께\n게으름 핍시다
どうしたんですかぁ\nイタズラでもされましたー？\nふふー、私じゃないですよー,무슨 일이에요\n장난에 당했습니까?\n후후、내가 아니에요
プロデューサー\n私が特別にー\n料理作ってあげましょうかぁ,프로듀서\n내가 특별히―\n요리 만들어 줄까요
私に触ったってことはぁ\n仕返ししてもイイって事ですよねー,나에게 손댓다는 것은\n복수 해도 된다는 거군요―
私の服が気になるんですかぁ？\nプロデューサーも、着てみますー？,나의 옷이 신경 쓰입니까? \n프로듀서도、입어 볼까요─?
他の女の子にはぁ\n気軽に触っちゃダメですよー,다른 여자아이에게는\n가볍게 손대서는 안됩니다
きゃっ──\n……今の声は聞かなかった\nことに、してくださいー,꺗─\n…… 지금의 소리는 듣지 않은\n일로、해 주세요―
イタズラの仕返しですかぁ\nまったく、プロデューサーは\n悪い大人ですねー,장난의 복수입니까\n정말、프로듀서는\n나쁜 어른이군요
ここで悲鳴を上げたらぁ\nどうなりますかねー\n……ふふー,여기서 비명을 지르면\n어떻게 됩니까\n…… 후후
プロデューサー\n今日も１日、よろしくお願いしますね,프로듀서\n오늘도 하루、잘 부탁드려요
プロデューサー、いつもお疲れ様です,프로듀서、언제나 수고 하셨습니다
こんにちは、プロデューサー\n最近レッスンの調子がいいみたいです,안녕하세요、프로듀서\n최근 레슨의 상태가 좋은 것 같습니다
実は今日、筋肉痛で……\n……他の子には、\n言わないでください,실은 오늘、근육통으로……\n…… 다른 아이에게는、\n말하지 말아 주세요
今日の占いによると……\nプロデューサーの運勢は\n結構いいみたいです,오늘 점에 의하면……\n프로듀서의 운세는\n상당히 좋은것 같습니다
事務所、自分の家よりも\n居心地がいいんですよね,사무소、자신의 집보다\n기분 좋지요
……なんだか、\n緊張がとけました,…… 어쩐지、\n긴장이 녹았습니다
ふふ……\n結構鍛えてるんですよ、ほら,후후……\n상당히 단련하고 있습니다、호라
もう……\n触らないでくださいって……,이제……\n손대지 말아주세요 라고……
あまり、自信がないんです……\nどう、ですか……？,별로、자신이 없습니다…\n어떻、습니까…?
あの……\n恥ずかしいです……,저……\n부끄럽습니다……
プロデューサー……これ以上は……\nお、怒りますよ？,프로듀서… 더 이상은…\n、화내요?
今日は何をするんでしょう？\nチョコ関連？\nそれとも別のことだったり？,오늘은 무엇을 하나요? \n초콜렛 관련? \n그렇지않으면 다른 일이거나?
プロデューサーさん、\nあなたのチョコアイドルは\n今日も元気いっぱいですよ！,프로듀서씨、\n당신의 초콜렛아이돌은\n오늘도 활기가 가득이에요!
お疲れ様です！\nチョコっと休憩しませんか？\n……チョコだけにっ,수고하셨습니다! \n쵸코와 쉬지않겠습니까? \n……초코와 같이
プロデューサーさん、\n疲れた時には甘いものが\nいいんですよ！,프로듀서씨、\n지쳤을 때는 달콤한 것이\n좋아요!
今度、お菓子作ってこようと\n思ってるんです！\n食べてくださいねっ,곧、과자 만들려고\n생각하고 있습니다! \n먹어 주세요
プロデューサーさんが\n構ってくれるまで待ってます\n……なんちゃって！,프로듀서씨가\n상대해 줄 때까지 기다립니다 \n…라고 해 버려!
もう、プロデューサーさん？\nそこにお菓子は隠して\nないですよ？,이제、프로듀서씨? \n거기에 과자는 숨기지\n않았어요?
待って待って！\n私くすぐり弱いんですー！\nふふっ、ダメですってばぁ,기다려기다려! \n나 간지르기 약합니다!\n후후、안된다구요
も、もしかして\n太っちゃいました……！？\nやわらかすぎですかね……？,호、혹시\n살쪄 버렸습니까…!? \n너무 부드럽습니까…?
チョコっとでもダメですっ\n……恥ずかしいですもん,쵸코여도 안됩니다 \n…부끄러운 걸
……や、やっぱり、\nプロデューサーさんも\n気になるんですか……？,…여、역시、\n프로듀서씨도\n신경 쓰입니까…?
えっと、えっと……！\nこっ、こういう時の反応って\n何が正解なんですか……！？,엣또、엣또……! \n이、이런 때의 반응은\n뭐가 정답입니까…!?
さぁ、今日もはりきって\nファンのみんなの期待に応えるとしようか,자、오늘도 힘을 내\n팬들의 기대에 응한다고 할까
今日も調子はよさそうだね\nフフ、私も絶好調だよ,오늘도 상태는 좋은 것 같다\n후후、나도 절호조야
アイドルの世界は眩しいね……,아이돌의 세계는 눈부시다……
フフ、構われたくて黙ってるのかい？\n可愛いところがあるんだね,후후、상대한다면서 잠차코 있는지? \n귀여운 점이 있군요
今度私と一緒に遠出してみないかい？,나중에 나와 함께 멀리나가 보지 않을래요?
今私がこんなに楽しいのは\nアナタのおかげかもしれないね,지금 내가 이렇게 즐거운 건\n당신 덕분일지도 모르네
フフ、ダメだよ\nくすぐったいじゃないか,후후、안돼\n낯간지럽지 않은가
おっと……プロデューサーか\nどうしたのかな？,어이쿠… 프로듀서인가\n무슨 일이야?
フフ、私からアナタに触れても、文句は言わせないよ？,후후、내가 당신을 만져도、불평은 말하지 말아?
な、なんだか恥ずかしいな,왜、왠지 부끄럽구나
うーん……反応に困るなぁ,응…… 반응이 곤란하구나
そんなに気になるかい？\nけれど、ほどほどにね,그렇게 신경이 쓰일까? \n하지만、적당히
あっ！\nプロデューサーさん！\nねぇねぇ、今日の甘奈どう？,앗! \n프로듀서씨! \n네 네、오늘의 아마나 어때?
